"symbol","date","open","high","low","close","volume","adjusted"
"PETR3",2010-01-04,41.700001,41.860001,41.400002,41.650002,4892000,25.92868
"PETR3",2010-01-05,41.849998,41.860001,41.150002,41.400002,3828900,25.77305
"PETR3",2010-01-06,41.189999,42.049999,41.049999,41.810001,3434000,26.02829
"PETR3",2010-01-07,41.509998,42.869999,41.299999,41.560001,2794400,25.872654
"PETR3",2010-01-08,41.799999,41.860001,41.139999,41.25,3116900,25.679667
"PETR3",2010-01-11,41.509998,41.889999,41.119999,41.290001,3400300,25.704567
"PETR3",2010-01-12,40.98,41,40.389999,40.77,2076400,25.380856
"PETR3",2010-01-13,40.860001,41.009998,39.720001,40.400002,6290800,25.150513
"PETR3",2010-01-14,40.25,40.400002,39.610001,39.75,3148700,24.745861
"PETR3",2010-01-15,39.5,40.200001,39.41,39.990002,4581400,24.895269
"PETR3",2010-01-18,40.099998,41.169998,40.080002,40.900002,2254000,25.461779
"PETR3",2010-01-19,40.5,40.860001,40.299999,40.669998,3185500,25.318586
"PETR3",2010-01-20,40.209999,40.290001,39.419998,39.549999,3038200,24.621351
"PETR3",2010-01-21,39.610001,40.5,38.189999,38.439999,3838400,23.930332
"PETR3",2010-01-22,38.150002,38.720001,37.950001,38.529999,4269700,23.986366
"PETR3",2010-01-26,37.75,38.110001,37.25,37.84,4427800,23.556816
"PETR3",2010-01-27,37.830002,38.299999,37.25,38,3054300,23.656427
"PETR3",2010-01-28,38.5,38.849998,37.900002,38.799999,3733100,24.154451
"PETR3",2010-01-29,38.990002,39.41,37.959999,38.220001,4211200,23.793377
"PETR3",2010-02-01,38.490002,38.630001,38.049999,38.32,2930000,23.855633
"PETR3",2010-02-02,38.700001,38.73,38.130001,38.299999,3582500,23.843182
"PETR3",2010-02-03,38.34,38.43,37.849998,38.290001,2480100,23.836956
"PETR3",2010-02-04,37.939999,38.119999,36.299999,36.450001,5426100,22.691486
"PETR3",2010-02-05,36.189999,36.41,34.950001,35.799999,5882800,22.28684
"PETR3",2010-02-08,36.029999,36.720001,35.650002,36.139999,4013300,22.498503
"PETR3",2010-02-09,36.599998,37.07,36.299999,36.759998,8539400,22.884472
"PETR3",2010-02-10,36.650002,37.34,36.32,37.279999,8269800,23.208189
"PETR3",2010-02-11,37.610001,38.200001,37.099998,37.810001,7433800,23.538137
"PETR3",2010-02-12,37.27,38.25,37.169998,38.25,5306000,23.81205
"PETR3",2010-02-17,38.549999,38.66,37.970001,38.389999,4399800,23.89921
"PETR3",2010-02-18,38.220001,38.700001,37.889999,38.700001,4888600,24.092199
"PETR3",2010-02-19,38.32,38.740002,38.150002,38.599998,4276900,24.029947
"PETR3",2010-02-22,38.889999,39,38.5,38.880001,4958100,24.204254
"PETR3",2010-02-23,38.57,38.82,37.82,38.150002,5047100,23.749794
"PETR3",2010-02-24,38.310001,38.349998,37.470001,38.139999,2885800,23.743574
"PETR3",2010-02-25,37.490002,38.32,37.169998,38.32,5658800,23.855633
"PETR3",2010-02-26,38.400002,38.700001,37.919998,38.700001,5424100,24.092199
"PETR3",2010-03-01,38.82,39.049999,38.200001,39.049999,4747100,24.310083
"PETR3",2010-03-02,39.470001,39.52,39.099998,39.279999,4291200,24.453266
"PETR3",2010-03-03,39.419998,40.049999,39.25,39.41,5043600,24.534197
"PETR3",2010-03-04,39.700001,39.779999,38.889999,39.189999,3489100,24.397243
"PETR3",2010-03-05,39.599998,40.150002,39.470001,39.990002,3413100,24.895269
"PETR3",2010-03-08,40.009998,40.189999,39.639999,39.970001,3290500,24.882818
"PETR3",2010-03-09,39.700001,41,39.669998,40.709999,6838700,25.343496
"PETR3",2010-03-10,40.950001,41.380001,40.830002,41.299999,6097800,25.7108
"PETR3",2010-03-11,41.18,41.700001,41.040001,41.299999,3780500,25.7108
"PETR3",2010-03-12,41.5,41.709999,41.290001,41.490002,3862500,25.829073
"PETR3",2010-03-15,41.169998,41.560001,40.700001,41.080002,5698400,25.573833
"PETR3",2010-03-16,41.299999,41.540001,40.84,41.540001,3134500,25.860201
"PETR3",2010-03-17,41.790001,41.799999,41.16,41.549999,2625100,25.866425
"PETR3",2010-03-18,41.43,41.799999,41.009998,41.400002,4726200,25.77305
"PETR3",2010-03-19,41.360001,41.400002,40.5,40.549999,10954700,25.243893
"PETR3",2010-03-22,40,40.549999,39.5,40.549999,3468900,25.243893
"PETR3",2010-03-23,40.580002,40.619999,39.75,39.900002,2926600,24.839237
"PETR3",2010-03-24,39.799999,40.82,39.599998,40.299999,4064100,25.088257
"PETR3",2010-03-25,40.490002,40.650002,39.389999,39.450001,3380300,24.559097
"PETR3",2010-03-26,39.73,39.75,38.82,39.25,6678300,24.434595
"PETR3",2010-03-29,39.5,39.869999,38.740002,39.450001,3794800,24.559097
"PETR3",2010-03-30,39.810001,40,39.279999,39.299999,1859700,24.465721
"PETR3",2010-03-31,39.279999,39.700001,39.029999,39.700001,3988700,24.714731
"PETR3",2010-04-01,39.849998,40.23,39.849998,40.150002,2520900,24.994873
"PETR3",2010-04-05,40.259998,40.580002,40.080002,40.400002,2364600,25.150513
"PETR3",2010-04-06,40.23,40.84,40.209999,40.59,2312700,25.268797
